Accession	Organism	Kingdom	Length	Signal_Peptide	Transmembrane_Helix	Train	Fold
P51654	Homo sapiens	Metazoa	580	24	None	True	0
G5EC68	Caenorhabditis elegans	Metazoa	85	17	None	True	0
A7VN15	Protobothrops flavoviridis	Metazoa	79	19	None	True	0
Q5B428	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	244	23	None	True	0
P22864	Aspergillus niger	Fungi	373	19	None	True	0
P01139	Mus musculus	Metazoa	241	18	None	True	0
Q9SUQ8	Arabidopsis thaliana	Plants	187	29	None	True	0
P43077	Candida albicans	Fungi	562	22	None	True	0
Q5G8A6	Tityus costatus	Metazoa	87	19	None	True	0
Q9TRM8	Canis lupus familiaris	Metazoa	177	25	None	True	0
O95866	Homo sapiens	Metazoa	241	17	None	True	0
O48818	Arabidopsis thaliana	Plants	257	20	None	True	0
Q6UXB2	Homo sapiens	Metazoa	119	21	None	True	0
P33681	Homo sapiens	Metazoa	288	34	None	True	0
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20	None	True	0
P84777	Tityus discrepans	Metazoa	61	23	None	True	0
Q9UIK5	Homo sapiens	Metazoa	374	40	None	True	0
Q8NBK3	Homo sapiens	Metazoa	374	33	None	True	0
P35053	Rattus norvegicus	Metazoa	558	23	None	True	0
P27773	Mus musculus	Metazoa	505	24	None	True	0
Q556R7	Dictyostelium discoideum	Other	303	24	None	True	0
Q06K77	Phlebotomus duboscqi	Metazoa	336	21	None	True	0
Q9YH85	Gallus gallus	Metazoa	2120	24	None	True	0
Q86YD3	Homo sapiens	Metazoa	366	26	None	True	0
O35701	Mus musculus	Metazoa	481	27	None	True	0
P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20	None	True	0
Q969Z4	Homo sapiens	Metazoa	430	25	None	True	0
Q6UW32	Homo sapiens	Metazoa	110	24	None	True	0
Q27967	Bos taurus	Metazoa	203	23	None	True	0
P32004	Homo sapiens	Metazoa	1257	19	None	True	0
Q968Z6	Dictyostelium discoideum	Other	557	19	None	True	0
Q9UK23	Homo sapiens	Metazoa	515	25	None	True	0
P81511	Hirudo medicinalis	Metazoa	81	15	None	True	0
P43307	Homo sapiens	Metazoa	286	18	None	True	0
Q8HYA9	Sus scrofa	Metazoa	185	20	None	True	0
P04925	Mus musculus	Metazoa	254	22	None	True	0
P02896	Trypanosoma brucei brucei	Other	526	33	None	True	0
Q6ZSA7	Homo sapiens	Metazoa	298	34	None	True	0
P81605	Homo sapiens	Metazoa	110	19	None	True	0
P15289	Homo sapiens	Metazoa	507	18	None	True	0
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23	None	True	0
P80188	Homo sapiens	Metazoa	198	20	None	True	0
O61668	Olivierus martensii	Metazoa	88	18	None	True	0
Q969J5	Homo sapiens	Metazoa	263	21	None	True	0
Q6XE38	Homo sapiens	Metazoa	83	21	None	True	0
P02774	Homo sapiens	Metazoa	474	16	None	True	0
P80370	Homo sapiens	Metazoa	383	23	None	True	0
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22	None	True	0
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Plants	274	25	None	True	0
P02763	Homo sapiens	Metazoa	201	18	None	True	0
P02790	Homo sapiens	Metazoa	462	23	None	True	0
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19	None	True	0
P18510	Homo sapiens	Metazoa	177	25	None	True	0
P56829	Ovis aries	Metazoa	195	23	None	True	0
O35806	Rattus norvegicus	Metazoa	1764	35	None	True	0
Q6E0U4	Homo sapiens	Metazoa	476	21	None	True	0
Q6UX46	Homo sapiens	Metazoa	152	24	None	True	0
W1I921	Achatina achatina	Metazoa	184	26	None	True	0
Q9Y279	Homo sapiens	Metazoa	399	19	None	True	0
Q9GL30	Bos taurus	Metazoa	545	35	None	True	0
P26842	Homo sapiens	Metazoa	260	19	None	True	0
Q8T0Y7	Aplysia californica	Metazoa	141	26	None	True	0
I6S390	Scolopendra mutilans	Metazoa	76	22	None	True	0
P31419	Manduca sexta	Metazoa	161	20	None	True	0
P30986	Eschscholzia californica	Plants	538	23	None	True	0
Q6UW10	Homo sapiens	Metazoa	78	19	None	True	0
Q7Z5A7	Homo sapiens	Metazoa	132	43	None	True	0
Q9XSW3	Sus scrofa	Metazoa	240	18	None	True	0
Q9P2K2	Homo sapiens	Metazoa	825	27	None	True	0
Q08127	Anguilla anguilla	Metazoa	147	20	None	True	0
P29022	Zea mays	Plants	280	25	None	True	0
Q09022	Xenopus laevis	Metazoa	84	18	None	True	0
Q6UWL6	Homo sapiens	Metazoa	708	20	None	True	0
P34746	Oreochromis mossambicus	Metazoa	204	17	None	True	0
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26	None	True	0
Q96AP7	Homo sapiens	Metazoa	390	29	None	True	0
Q9UHF4	Homo sapiens	Metazoa	553	29	None	True	0
Q8WML4	Bos taurus	Metazoa	580	22	None	True	0
P04062	Homo sapiens	Metazoa	536	39	None	True	0
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22	None	True	0
P12318	Homo sapiens	Metazoa	317	33	None	True	0
P06865	Homo sapiens	Metazoa	529	22	None	True	0
F1N5C8	Bos taurus	Metazoa	445	22	None	True	0
Q13007	Homo sapiens	Metazoa	206	51	None	True	0
O42807	Aspergillus niger	Fungi	281	21	None	True	0
Q28989	Sus scrofa	Metazoa	421	26	None	True	0
P01364	Aplysia californica	Metazoa	108	23	None	True	0
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19	None	True	0
C0HKM3	Conus purpurascens	Metazoa	458	18	None	True	0
Q969P0	Homo sapiens	Metazoa	613	27	None	True	0
Q00657	Rattus norvegicus	Metazoa	2326	29	None	True	0
O00206	Homo sapiens	Metazoa	839	23	None	True	0
Q9TW32	Dictyostelium discoideum	Other	197	22	None	True	0
Q13145	Homo sapiens	Metazoa	260	20	None	True	0
P08505	Mus musculus	Metazoa	211	24	None	True	0
Q6UWN5	Homo sapiens	Metazoa	251	25	None	True	0
Q6UW88	Homo sapiens	Metazoa	154	22	None	True	0
Q9R1T7	Rattus norvegicus	Metazoa	200	20	None	True	0
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17	None	True	0
P11215	Homo sapiens	Metazoa	1152	16	None	True	0
Q5D710	Scylla serrata	Metazoa	126	24	None	True	0
O54861	Rattus norvegicus	Metazoa	825	31	None	True	0
O64392	Triticum aestivum	Plants	146	21	None	True	0
P0CS93	Gibberella zeae	Fungi	680	24	None	True	0
Q9U8D1	Olivierus martensii	Metazoa	56	28	None	True	0
P0C1X6	Tityus discrepans	Metazoa	62	26	None	True	0
Q12546	Aspergillus ficuum	Fungi	614	22	None	True	0
O35310	Mus musculus	Metazoa	311	20	None	True	0
P19035	Bos taurus	Metazoa	96	23	None	True	0
P26780	Sinapis alba	Plants	99	30	None	True	0
P02765	Homo sapiens	Metazoa	367	18	None	True	0
P56722	Bos taurus	Metazoa	979	34	None	True	0
Q9UAD0	Olivierus martensii	Metazoa	59	24	None	True	0
Q8LD43	Arabidopsis thaliana	Plants	62	22	None	True	0
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22	None	True	0
P17697	Bos taurus	Metazoa	439	19	None	True	0
P33577	Petromyzon marinus	Metazoa	119	19	None	True	0
P59938	Olivierus martensii	Metazoa	57	21	None	True	0
Q94K85	Arabidopsis thaliana	Plants	359	26	None	True	0
P01833	Homo sapiens	Metazoa	764	18	None	True	0
P55083	Homo sapiens	Metazoa	255	21	None	True	0
Q5PP12	Arabidopsis thaliana	Plants	69	25	None	True	0
O95157	Homo sapiens	Metazoa	252	22	None	True	0
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19	None	True	0
Q96HE7	Homo sapiens	Metazoa	468	23	None	True	0
Q8S2W4	Arabidopsis thaliana	Plants	61	22	None	True	0
Q4V645	Drosophila melanogaster	Metazoa	108	29	None	True	0
P18417	Catharanthus roseus	Plants	352	31	None	True	0
Q9NTU7	Homo sapiens	Metazoa	201	27	None	True	0
P55057	Oryctolagus cuniculus	Metazoa	124	27	None	True	0
P21128	Homo sapiens	Metazoa	410	18	None	True	0
Q99944	Homo sapiens	Metazoa	293	25	None	True	0
P18761	Mus musculus	Metazoa	317	17	None	True	0
P21570	Mus musculus	Metazoa	145	24	None	True	0
P03971	Homo sapiens	Metazoa	560	24	None	True	0
P24792	Cucurbita maxima	Plants	579	30	None	True	0
Q1XG90	Crassostrea virginica	Metazoa	135	18	None	True	0
P16882	Mus musculus	Metazoa	650	24	None	True	0
Q42656	Coffea arabica	Plants	378	15	None	True	0
P18181	Mus musculus	Metazoa	240	22	None	True	0
O62605	Galleria mellonella	Metazoa	218	16	None	True	0
Q9Y4X3	Homo sapiens	Metazoa	112	24	None	True	0
Q6UX52	Homo sapiens	Metazoa	265	20	None	True	0
P01027	Mus musculus	Metazoa	1663	24	None	True	0
P07727	Rattus norvegicus	Metazoa	457	28	None	True	0
Q8VCS0	Mus musculus	Metazoa	530	22	None	True	0
P02783	Rattus norvegicus	Metazoa	112	21	None	True	0
P17301	Homo sapiens	Metazoa	1181	29	None	True	0
Q96HF1	Homo sapiens	Metazoa	295	24	None	True	0
P60153	Homo sapiens	Metazoa	205	26	None	True	0
Q653V7	Oryza sativa subsp. japonica	Plants	885	33	None	True	0
B0FHH8	Manduca sexta	Metazoa	151	18	None	True	0
P01076	Solanum lycopersicum	Plants	77	32	None	True	0
P50895	Homo sapiens	Metazoa	628	31	None	True	0
P82358	Acanthoscurria gomesiana	Metazoa	84	23	None	True	0
Q09117	Populus deltoides	Plants	312	24	None	True	0
P25291	Canis lupus familiaris	Metazoa	509	21	None	True	0
Q96BF3	Homo sapiens	Metazoa	282	22	None	True	0
Q5ZPR3	Homo sapiens	Metazoa	534	28	None	True	0
P0DUS6	Doratifera vulnerans	Metazoa	60	24	None	True	0
P02743	Homo sapiens	Metazoa	223	19	None	True	0
P04119	Sus scrofa	Metazoa	178	18	None	True	0
Q95NY5	Anopheles stephensi	Metazoa	315	18	None	True	0
P07602	Homo sapiens	Metazoa	524	16	None	True	0
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14	None	True	0
O18998	Oryctolagus cuniculus	Metazoa	281	21	None	True	0
O88917	Rattus norvegicus	Metazoa	1515	24	None	True	0
O43866	Homo sapiens	Metazoa	347	19	None	True	0
P05560	Dromaius novaehollandiae	Metazoa	207	23	None	True	0
Q9P0V8	Homo sapiens	Metazoa	285	22	None	True	0
Q02942	Blaberus discoidalis	Metazoa	726	16	None	True	0
P22301	Homo sapiens	Metazoa	178	18	None	True	0
O60844	Homo sapiens	Metazoa	167	16	None	True	0
E0XKJ9	Tabanus yao	Metazoa	349	25	None	True	0
Q9VGE2	Drosophila melanogaster	Metazoa	384	0	False	True	0
P11799	Gallus gallus	Metazoa	1906	0	False	True	0
Q94230	Caenorhabditis elegans	Metazoa	226	0	False	True	0
Q9Y371	Homo sapiens	Metazoa	365	0	False	True	0
Q9SII9	Arabidopsis thaliana	Plants	538	0	False	True	0
Q9BQ52	Homo sapiens	Metazoa	826	0	False	True	0
Q7Z7K6	Homo sapiens	Metazoa	275	0	False	True	0
Q13315	Homo sapiens	Metazoa	3056	0	False	True	0
P28519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	371	0	False	True	0
Q00653	Homo sapiens	Metazoa	900	0	False	True	0
Q8MLV1	Drosophila melanogaster	Metazoa	741	0	False	True	0
P09798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	840	0	False	True	0
Q9WTW8	Rattus norvegicus	Metazoa	647	0	False	True	0
Q91YE8	Mus musculus	Metazoa	1087	0	False	True	0
Q52KF3	Mus musculus	Metazoa	598	0	False	True	0
Q3TH73	Mus musculus	Metazoa	532	0	False	True	0
Q96F07	Homo sapiens	Metazoa	1278	0	False	True	0
Q9XUK2	Caenorhabditis elegans	Metazoa	307	0	False	True	0
P40073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367	0	True	True	0
Q94131	Caenorhabditis elegans	Metazoa	335	0	False	True	0
O94632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	773	0	False	True	0
Q10F03	Oryza sativa subsp. japonica	Plants	529	0	False	True	0
P47148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	0	False	True	0
P19538	Drosophila melanogaster	Metazoa	1397	0	False	True	0
F4K8S5	Arabidopsis thaliana	Plants	355	0	False	True	0
