Accession	Organism	Kingdom	Length	Cleavage_site
P81492	Hirudinaria manillensis	Metazoa	84	20
P24807	Mus musculus	Metazoa	76	26
P79073	Hypocrea jecorina	Fungi	86	15
Q05928	Mus musculus	Metazoa	177	31
Q6IV20	Gallus gallus	Metazoa	104	22
Q86WA6	Homo sapiens	Metazoa	291	37
Q8NBI3	Homo sapiens	Metazoa	349	25
P07994	Bos taurus	Metazoa	360	17
P19035	Bos taurus	Metazoa	96	23
Q9NPR2	Homo sapiens	Metazoa	837	43
P01076	Solanum lycopersicum	Plants	77	32
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19
Q07092	Homo sapiens	Metazoa	1604	21
P25291	Canis lupus familiaris	Metazoa	509	21
Q6UWI2	Homo sapiens	Metazoa	310	20
Q14392	Homo sapiens	Metazoa	662	19
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23
P50895	Homo sapiens	Metazoa	628	31
Q9VH14	Drosophila melanogaster	Metazoa	210	27
P01579	Homo sapiens	Metazoa	166	23
P16150	Homo sapiens	Metazoa	400	19
P23389	Bos taurus	Metazoa	646	20
O64411	Zea mays	Plants	500	28
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51
Q9YH85	Gallus gallus	Metazoa	2120	24
Q96BY9	Homo sapiens	Metazoa	339	30
Q42502	Solanum tuberosum	Plants	386	23
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16
O61668	Olivierus martensii	Metazoa	88	18
P01027	Mus musculus	Metazoa	1663	24
Q945U0	Phytophthora sojae	Other	257	28
P06865	Homo sapiens	Metazoa	529	22
Q86YT9	Homo sapiens	Metazoa	394	19
Q6UW10	Homo sapiens	Metazoa	78	19
P55058	Homo sapiens	Metazoa	493	17
O43852	Homo sapiens	Metazoa	315	19
Q9SUQ8	Arabidopsis thaliana	Plants	187	29
P15309	Homo sapiens	Metazoa	386	32
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24
P11717	Homo sapiens	Metazoa	2491	40
P28770	Oncorhynchus mykiss	Metazoa	221	21
Q1XG90	Crassostrea virginica	Metazoa	135	18
P80513	Bos taurus	Metazoa	179	21
Q3C258	Actinia equina	Metazoa	70	20
Q14210	Homo sapiens	Metazoa	128	20
Q7Z5A7	Homo sapiens	Metazoa	132	43
Q02126	Hordeum vulgare	Plants	330	25
A9UGV6	Oryza sativa subsp. japonica	Plants	61	26
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24
Q969J5	Homo sapiens	Metazoa	263	21
P55057	Oryctolagus cuniculus	Metazoa	124	27
Q9UNE0	Homo sapiens	Metazoa	448	26
P29320	Homo sapiens	Metazoa	983	20
P05790	Bombyx mori	Metazoa	5263	21
Q7TQN3	Mus musculus	Metazoa	571	29
P83472	Lumbricus terrestris	Metazoa	86	22
P86798	Cupiennius salei	Metazoa	140	19
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26
P05367	Mus musculus	Metazoa	122	19
P31025	Homo sapiens	Metazoa	176	18
P07457	Zoarces americanus	Metazoa	87	22
P02783	Rattus norvegicus	Metazoa	112	21
Q8NBL1	Homo sapiens	Metazoa	392	23
Q96S96	Homo sapiens	Metazoa	227	22
P04119	Sus scrofa	Metazoa	178	18
C7G3K3	Liocheles australasiae	Metazoa	80	21
P36897	Homo sapiens	Metazoa	503	33
Q28862	Bos taurus	Metazoa	310	16
P30659	Lutzomyia longipalpis	Metazoa	86	23
O60931	Homo sapiens	Metazoa	367	22
P20740	Gallus gallus	Metazoa	1473	36
P28335	Homo sapiens	Metazoa	458	32
P58912	Phyllodiscus semoni	Metazoa	488	21
Q9GU69	Lymnaea stagnalis	Metazoa	64	21
P25068	Bos taurus	Metazoa	64	26
Q5JNJ5	Oryza sativa subsp. japonica	Plants	237	28
Q9Y5U5	Homo sapiens	Metazoa	241	25
Q01528	Limulus polyphemus	Metazoa	172	19
Q969P0	Homo sapiens	Metazoa	613	27
Q8JFQ0	Bombina maxima	Metazoa	96	19
P32358	Bombyx mori	Metazoa	579	15
P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20
P01168	Sus scrofa	Metazoa	116	24
A4LAR6	Grifola frondosa	Fungi	107	24
P17715	Octodon degus	Metazoa	109	24
Q43871	Hordeum vulgare	Plants	115	25
Q08738	Bombyx mori	Metazoa	239	16
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32
Q9GL30	Bos taurus	Metazoa	545	35
Q29486	Felis catus	Metazoa	524	17
Q17058	Apis mellifera	Metazoa	567	17
Q6GU94	Centruroides limpidus	Metazoa	56	24
P43307	Homo sapiens	Metazoa	286	18
P14625	Homo sapiens	Metazoa	803	21
P13806	Oryctolagus cuniculus	Metazoa	1106	26
P61312	Rattus norvegicus	Metazoa	146	25
Q05895	Mus musculus	Metazoa	956	21
Q9H293	Homo sapiens	Metazoa	177	32
Q8TAL6	Homo sapiens	Metazoa	211	18
P82103	Mytilus galloprovincialis	Metazoa	96	20
P81058	Penaeus vannamei	Metazoa	82	19
Q6UX39	Homo sapiens	Metazoa	209	16
P11438	Mus musculus	Metazoa	406	24
Q8GT41	Platanus acerifolia	Plants	179	23
P04557	Bos taurus	Metazoa	140	25
P34746	Oreochromis mossambicus	Metazoa	204	17
Q7SZI7	Xenopus laevis	Metazoa	1219	22
Q40975	Papaver rhoeas	Plants	139	19
Q92154	Coturnix japonica	Metazoa	620	17
Q02747	Homo sapiens	Metazoa	115	21
Q556R7	Dictyostelium discoideum	Other	303	24
Q8MJV4	Bos taurus	Metazoa	122	24
I3LGZ3	Sus scrofa	Metazoa	81	24
Q8NBM8	Homo sapiens	Metazoa	494	22
Q07081	Aquarana catesbeiana	Metazoa	464	16
P80748	Homo sapiens	Metazoa	117	17
P45561	Sus scrofa	Metazoa	189	16
P80090	Lymnaea stagnalis	Metazoa	122	29
P20826	Mus musculus	Metazoa	273	25
P25033	Hyalophora cecropia	Metazoa	413	19
B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22
Q7Q7R8	Anopheles gambiae	Metazoa	89	29
Q02083	Homo sapiens	Metazoa	359	28
Q868Z9	Drosophila melanogaster	Metazoa	2898	26
P11654	Rattus norvegicus	Metazoa	1886	25
P29794	Canis lupus familiaris	Metazoa	180	20
Q86QT3	Centruroides noxius	Metazoa	62	20
P15196	Oryctolagus cuniculus	Metazoa	398	31
Q9TRM8	Canis lupus familiaris	Metazoa	177	25
P12273	Homo sapiens	Metazoa	146	28
P42660	Aedes aegypti	Metazoa	471	19
Q86IV5	Dictyostelium discoideum	Other	258	21
Q62867	Rattus norvegicus	Metazoa	317	24
P05113	Homo sapiens	Metazoa	134	19
Q13231	Homo sapiens	Metazoa	466	21
Q8NAC3	Homo sapiens	Metazoa	791	20
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23
P14209	Homo sapiens	Metazoa	185	22
P20462	Notamacropus eugenii	Metazoa	176	18
Q6E0U4	Homo sapiens	Metazoa	476	21
P14448	Gallus gallus	Metazoa	741	18
Q9U943	Locusta migratoria	Metazoa	3380	21
P04937	Rattus norvegicus	Metazoa	2477	24
P0DUS5	Doratifera vulnerans	Metazoa	57	24
C0HLA0	Chamaecyparis obtusa	Plants	556	28
Q96FE7	Homo sapiens	Metazoa	263	21
Q07654	Homo sapiens	Metazoa	80	21
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22
P27797	Homo sapiens	Metazoa	417	17
Q09022	Xenopus laevis	Metazoa	84	18
P86009	Dromaius novaehollandiae	Metazoa	238	17
Q27967	Bos taurus	Metazoa	203	23
P14384	Homo sapiens	Metazoa	443	17
Q8L5J1	Solanum lycopersicum	Plants	399	26
Q9NR61	Homo sapiens	Metazoa	685	26
Q01965	Mus musculus	Metazoa	654	47
Q9LXD6	Arabidopsis thaliana	Plants	773	23
Q9UBP4	Homo sapiens	Metazoa	350	21
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25
Q5UCC4	Homo sapiens	Metazoa	262	25
Q6UXH1	Homo sapiens	Metazoa	353	24
P24817	Momordica charantia	Plants	286	23
Q9Z0L3	Mus musculus	Metazoa	485	17
Q4V4I9	Drosophila melanogaster	Metazoa	182	22
O14773	Homo sapiens	Metazoa	563	19
P0DL40	Vespa magnifica	Metazoa	67	21
Q7Z5L0	Homo sapiens	Metazoa	202	24
P25942	Homo sapiens	Metazoa	277	20
P45590	Hyalophora cecropia	Metazoa	129	17
P01070	Glycine max	Plants	216	24
P42264	Rattus norvegicus	Metazoa	919	31
O35806	Rattus norvegicus	Metazoa	1764	35
P40967	Homo sapiens	Metazoa	661	24
P18510	Homo sapiens	Metazoa	177	25
Q9TT95	Sus scrofa	Metazoa	120	22
Q9M373	Arabidopsis thaliana	Plants	74	26
P16112	Homo sapiens	Metazoa	2530	16
P55000	Homo sapiens	Metazoa	103	22
A0A1W6EVM7	Ampulex compressa	Metazoa	50	26
P0DQB8	Scolopendra dehaani	Metazoa	73	20
Q8MUP7	Ixodes scapularis	Metazoa	102	21
Q867W1	Procambarus clarkii	Metazoa	76	27
O00105	Aspergillus niger	Fungi	564	19
Q61789	Mus musculus	Metazoa	3330	31
P48765	Bos taurus	Metazoa	970	32
P86872	Margaritifera margaritifera	Metazoa	260	19
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20
P20757	Ovis aries	Metazoa	476	24
P48816	Bombyx mori	Metazoa	137	18
P17164	Rattus norvegicus	Metazoa	462	28
Q91XZ4	Mus musculus	Metazoa	772	28
Q63372	Rattus norvegicus	Metazoa	1530	30
Q9TW32	Dictyostelium discoideum	Other	197	22
P19137	Mus musculus	Metazoa	3083	24
Q95NK7	Olivierus martensii	Metazoa	54	23
A6XMY0	Hyas araneus	Metazoa	64	25
P04706	Zea mays	Plants	223	19
P01139	Mus musculus	Metazoa	241	18
Q8HYA9	Sus scrofa	Metazoa	185	20
I6S390	Scolopendra mutilans	Metazoa	76	22
Q96PL1	Homo sapiens	Metazoa	93	21
P13725	Homo sapiens	Metazoa	252	25
P0DUT0	Doratifera vulnerans	Metazoa	46	19
Q9JI59	Mus musculus	Metazoa	298	28
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23
Q3L1D1	Agaricus bisporus	Fungi	594	25
P59665	Homo sapiens	Metazoa	94	19
P05117	Solanum lycopersicum	Plants	457	24
P01174	Rattus norvegicus	Metazoa	137	19
Q99519	Homo sapiens	Metazoa	415	47
Q8X150	Gaeumannomyces tritici	Fungi	618	16
P01068	Ananas comosus	Plants	246	19
B4FZ87	Zea mays	Plants	396	31
P42705	Canis lupus familiaris	Metazoa	352	23
Q13445	Homo sapiens	Metazoa	227	23
P05160	Homo sapiens	Metazoa	661	20
Q9BZR6	Homo sapiens	Metazoa	473	26
P14946	Lolium perenne	Plants	263	23
P13611	Homo sapiens	Metazoa	3396	20
Q64385	Mus musculus	Metazoa	432	23
P43077	Candida albicans	Fungi	562	22
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21
Q0P569	Bos taurus	Metazoa	474	24
O14791	Homo sapiens	Metazoa	398	27
P16144	Homo sapiens	Metazoa	1822	27
Q70SU7	Salvelinus alpinus	Metazoa	342	19
Q94K85	Arabidopsis thaliana	Plants	359	26
P10675	Schistocerca americana	Metazoa	662	24
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29
Q8N126	Homo sapiens	Metazoa	398	24
P02765	Homo sapiens	Metazoa	367	18
P80188	Homo sapiens	Metazoa	198	20
Q39688	Daucus carota	Plants	389	24
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22
G1CWH6	Clitoria ternatea	Plants	122	25
O88917	Rattus norvegicus	Metazoa	1515	24
Q9NZV1	Homo sapiens	Metazoa	1036	34
P18684	Protophormia terraenovae	Metazoa	101	18
Q96HE7	Homo sapiens	Metazoa	468	23
A1IKL2	Anisakis simplex	Metazoa	152	18
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19
P30438	Felis catus	Metazoa	92	22
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22
Q06K61	Phlebotomus duboscqi	Metazoa	516	20
Q63191	Rattus norvegicus	Metazoa	1216	21
Q10E50	Oryza sativa subsp. japonica	Plants	163	43
O95866	Homo sapiens	Metazoa	241	17
P80392	Meleagris gallopavo	Metazoa	64	28
P80370	Homo sapiens	Metazoa	383	23
P02779	Oryctolagus cuniculus	Metazoa	91	21
Q06K77	Phlebotomus duboscqi	Metazoa	336	21
G8YYA5	Androctonus amoreuxi	Metazoa	74	22
P53366	Sus scrofa	Metazoa	188	21
Q86Y34	Homo sapiens	Metazoa	549	20
Q9H1M4	Homo sapiens	Metazoa	99	20
P10764	Ovis aries	Metazoa	179	24
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19
P19034	Bos taurus	Metazoa	101	22
Q9BXJ3	Homo sapiens	Metazoa	329	16
P01137	Homo sapiens	Metazoa	390	29
P97710	Rattus norvegicus	Metazoa	509	31
