Accession	Organism	Kingdom	Length	Cleavage_site
P20826	Mus musculus	Metazoa	273	25
P55058	Homo sapiens	Metazoa	493	17
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19
P68248	Gallus gallus	Metazoa	80	25
Q61789	Mus musculus	Metazoa	3330	31
Q61400	Mus musculus	Metazoa	265	33
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22
Q96F46	Homo sapiens	Metazoa	866	32
Q27908	Pinctada fucata	Metazoa	447	17
Q8WPJ2	Mytilus edulis	Metazoa	367	17
P20013	Trametes versicolor	Fungi	372	26
P15018	Homo sapiens	Metazoa	202	22
Q8W257	Ptilota filicina	Other	500	21
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29
P80513	Bos taurus	Metazoa	179	21
P48765	Bos taurus	Metazoa	970	32
I6RA76	Scolopendra mutilans	Metazoa	64	18
P40967	Homo sapiens	Metazoa	661	24
Q9TVX3	Olivierus martensii	Metazoa	61	28
F1NSM7	Gallus gallus	Metazoa	743	18
Q6QD51	Rattus norvegicus	Metazoa	949	27
P10493	Mus musculus	Metazoa	1245	28
Q96PL1	Homo sapiens	Metazoa	93	21
P06727	Homo sapiens	Metazoa	396	20
P10764	Ovis aries	Metazoa	179	24
P13725	Homo sapiens	Metazoa	252	25
A1X159	Perna viridis	Metazoa	431	20
P86798	Cupiennius salei	Metazoa	140	19
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24
P05059	Bos taurus	Metazoa	449	18
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22
P20757	Ovis aries	Metazoa	476	24
Q91XZ4	Mus musculus	Metazoa	772	28
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23
P26732	Bombyx mori	Metazoa	92	19
P67861	Daboia russelii	Metazoa	144	24
Q63372	Rattus norvegicus	Metazoa	1530	30
Q8I817	Aplysia californica	Metazoa	88	19
P06911	Rattus norvegicus	Metazoa	188	19
P0DPU9	Myrmecia gulosa	Metazoa	67	25
P22388	Rattus norvegicus	Metazoa	202	25
Q8ISL8	Apis mellifera	Metazoa	78	24
Q07654	Homo sapiens	Metazoa	80	21
P11919	Manduca sexta	Metazoa	88	26
Q86WA6	Homo sapiens	Metazoa	291	37
P55000	Homo sapiens	Metazoa	103	22
P27797	Homo sapiens	Metazoa	417	17
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
Q13478	Homo sapiens	Metazoa	541	18
B4FZ87	Zea mays	Plants	396	31
P04844	Homo sapiens	Metazoa	631	22
O70280	Rattus norvegicus	Metazoa	212	26
Q7ZZN8	Naja atra	Metazoa	238	19
P25033	Hyalophora cecropia	Metazoa	413	19
Q8T1G4	Dictyostelium discoideum	Other	181	19
P17715	Octodon degus	Metazoa	109	24
P02462	Homo sapiens	Metazoa	1669	27
Q7SZI7	Xenopus laevis	Metazoa	1219	22
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23
Q16568	Homo sapiens	Metazoa	116	27
P0DQB8	Scolopendra dehaani	Metazoa	73	20
P11717	Homo sapiens	Metazoa	2491	40
P16112	Homo sapiens	Metazoa	2530	16
P42578	Lymnaea stagnalis	Metazoa	239	18
Q03405	Homo sapiens	Metazoa	335	22
Q9HB40	Homo sapiens	Metazoa	452	26
O55232	Rattus norvegicus	Metazoa	130	32
P16235	Rattus norvegicus	Metazoa	700	26
P14209	Homo sapiens	Metazoa	185	22
P04196	Homo sapiens	Metazoa	525	18
P55847	Penaeus japonicus	Metazoa	105	28
Q43871	Hordeum vulgare	Plants	115	25
P49259	Bos taurus	Metazoa	1463	20
P24052	Gallus gallus	Metazoa	142	21
P19427	Bos taurus	Metazoa	201	18
P04275	Homo sapiens	Metazoa	2813	22
P06681	Homo sapiens	Metazoa	752	20
