Accession	Organism	Kingdom	Length	Transmembrane_Helix
Q6UL01	Mus musculus	Metazoa	79	False
Q8N635	Homo sapiens	Metazoa	442	False
O42848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	197	False
P53127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1403	False
Q96BM1	Homo sapiens	Metazoa	317	False
Q86VZ6	Homo sapiens	Metazoa	243	False
Q42512	Arabidopsis thaliana	Plants	139	False
P86924	Trypanosoma brucei brucei	Other	416	False
Q9XI84	Arabidopsis thaliana	Plants	482	False
P43686	Homo sapiens	Metazoa	418	False
Q9NYV7	Homo sapiens	Metazoa	291	False
P20436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False
P06738	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	902	False
Q9GMC9	Ovis aries	Metazoa	169	False
Q9SU50	Arabidopsis thaliana	Plants	626	True
O95926	Homo sapiens	Metazoa	243	False
Q61425	Mus musculus	Metazoa	314	False
P40026	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464	False
Q96E11	Homo sapiens	Metazoa	262	False
Q0WP44	Arabidopsis thaliana	Plants	1202	False
Q96I23	Homo sapiens	Metazoa	114	False
Q0WQG8	Arabidopsis thaliana	Plants	467	True
Q9H633	Homo sapiens	Metazoa	154	False
Q8R4T1	Mus musculus	Metazoa	145	False
P08067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	215	True
Q86WX3	Homo sapiens	Metazoa	136	False
F4IAT8	Arabidopsis thaliana	Plants	326	False
Q8IUY3	Homo sapiens	Metazoa	354	False
P70122	Mus musculus	Metazoa	250	False
P0C089	Rattus norvegicus	Metazoa	193	False
Q3TQ03	Mus musculus	Metazoa	375	False
Q3SXM5	Homo sapiens	Metazoa	330	False
Q9Z206	Mus musculus	Metazoa	595	False
P36552	Mus musculus	Metazoa	443	False
Q15120	Homo sapiens	Metazoa	406	False
Q9HAV4	Homo sapiens	Metazoa	1204	False
Q14676	Homo sapiens	Metazoa	2089	False
Q7S1R6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	267	False
Q9QY02	Rattus norvegicus	Metazoa	738	False
Q03373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	323	False
Q91X84	Mus musculus	Metazoa	619	False
Q8NFQ8	Homo sapiens	Metazoa	470	False
Q7SG49	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	414	False
Q9UKN8	Homo sapiens	Metazoa	822	False
Q8W191	Arabidopsis thaliana	Plants	149	False
Q80UF7	Mus musculus	Metazoa	732	False
O43070	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613	False
